x;y;hdg
-24.2248535156;3.28979492188;278.0
-25.8697509766;3.14025878906;277.0
-25.5706787109;2.24304199219;275.0
-23.7762451172;1.64489746094;274.0
-24.0753173828;2.54211425781;276.0
-23.4771728516;1.04675292969;273.0
-24.2248535156;1.79443359375;274.0
-23.6267089844;2.09350585938;275.0
-24.2248535156;0.59814453125;271.0
-24.0753173828;-0.149536132812;270.0
-22.7294921875;0.299072265625;271.0
-23.6267089844;-0.299072265625;269.0
-22.4304199219;0.0;270.0
-22.5799560547;-0.747680664062;268.0
-21.2341308594;-0.897216796875;268.0
-22.4304199219;-1.79443359375;265.0
-20.7855224609;-1.94396972656;265.0
-19.7387695312;-1.49536132812;266.0
-20.0378417969;-1.79443359375;265.0
-19.2901611328;-2.84118652344;262.0
-18.0938720703;-3.14025878906;260.0
-18.3929443359;-2.54211425781;262.0
-17.1966552734;-4.03747558594;257.0
-17.7947998047;-3.73840332031;258.0
-15.7012939453;-5.53283691406;251.0
-15.7012939453;-4.33654785156;255.0
-14.8040771484;-3.14025878906;258.0
-13.4582519531;-5.68237304688;247.0
-14.35546875;-5.38330078125;249.0
-12.7105712891;-4.33654785156;251.0
-13.0096435547;-4.93469238281;249.0
-12.4114990234;-4.93469238281;248.0
-11.2152099609;-6.43005371094;240.0
-11.8133544922;-4.33654785156;250.0
-11.6638183594;-5.08422851562;246.0
-9.42077636719;-5.53283691406;240.0
-9.5703125;-4.48608398438;245.0
-8.22448730469;-5.53283691406;236.0
-9.86938476562;-4.48608398438;246.0
-7.02819824219;-5.23376464844;233.0
-7.02819824219;-5.53283691406;232.0
-8.52355957031;-5.53283691406;237.0
-7.77587890625;-4.18701171875;242.0
-6.28051757812;-4.78515625;233.0
-5.9814453125;-3.28979492188;241.0
-4.78515625;-4.78515625;225.0
-4.03747558594;-4.63562011719;221.0
-4.18701171875;-3.5888671875;229.0
-3.73840332031;-3.14025878906;230.0
-3.28979492188;-2.69165039062;231.0
-3.5888671875;-2.69165039062;233.0
-2.84118652344;-2.54211425781;228.0
-2.24304199219;-3.14025878906;216.0
-0.747680664062;-2.24304199219;198.0
0.299072265625;-2.392578125;173.0
0.448608398438;-0.747680664062;149.0
1.1962890625;-0.59814453125;117.0
1.04675292969;0.448608398438;67.0
2.24304199219;0.149536132812;86.0
2.392578125;1.79443359375;53.0
3.88793945312;1.49536132812;69.0
3.88793945312;2.99072265625;52.0
4.18701171875;2.392578125;60.0
4.48608398438;2.392578125;62.0
4.63562011719;4.33654785156;47.0
4.33654785156;4.93469238281;41.0
3.73840332031;6.13098144531;31.0
5.08422851562;5.68237304688;42.0
5.38330078125;6.87866210938;38.0
5.08422851562;8.3740234375;31.0
7.177734375;8.67309570312;40.0
5.08422851562;8.97216796875;30.0
5.23376464844;9.71984863281;28.0
5.83190917969;10.0189208984;30.0
6.13098144531;11.8133544922;27.0
5.9814453125;12.2619628906;26.0
5.68237304688;11.0656738281;27.0
5.68237304688;12.2619628906;25.0
5.23376464844;11.5142822266;24.0
6.72912597656;13.3087158203;27.0
5.53283691406;13.9068603516;22.0
5.38330078125;14.35546875;21.0
5.38330078125;15.2526855469;19.0
4.78515625;15.8508300781;17.0
3.5888671875;16.1499023438;13.0
4.33654785156;16.5985107422;15.0
4.33654785156;16.5985107422;15.0
4.48608398438;17.3461914062;15.0
4.48608398438;17.6452636719;14.0
3.73840332031;18.6920166016;11.0
5.83190917969;17.1966552734;19.0
4.18701171875;19.140625;12.0
4.78515625;18.8415527344;14.0
3.88793945312;18.5424804688;12.0
4.33654785156;18.3929443359;13.0
4.78515625;19.4396972656;14.0
4.93469238281;19.2901611328;14.0
4.33654785156;19.8883056641;12.0
3.5888671875;18.8415527344;11.0
4.93469238281;20.1873779297;14.0
2.69165039062;19.4396972656;8.0
4.03747558594;20.4864501953;11.0
2.392578125;18.8415527344;7.0
2.54211425781;20.7855224609;7.0
2.24304199219;22.2808837891;6.0
0.747680664062;23.1781005859;2.0
2.24304199219;21.6827392578;6.0
0.448608398438;23.1781005859;1.0
1.64489746094;23.4771728516;4.0
0.897216796875;23.92578125;2.0
-0.59814453125;24.2248535156;359.0
-0.448608398438;24.9725341797;359.0
-1.34582519531;24.3743896484;357.0
-0.149536132812;24.9725341797;360.0
-1.94396972656;26.1688232422;356.0
-2.69165039062;25.7202148438;354.0
-2.84118652344;26.1688232422;354.0
-3.5888671875;26.6174316406;352.0
-4.33654785156;27.3651123047;351.0
-5.23376464844;27.6641845703;349.0
-5.38330078125;27.2155761719;349.0
-5.68237304688;26.6174316406;348.0
-5.53283691406;27.6641845703;349.0
-5.23376464844;27.3651123047;349.0
-7.32727050781;27.3651123047;345.0
-7.62634277344;27.9632568359;345.0
-7.92541503906;27.6641845703;344.0
-8.97216796875;27.2155761719;342.0
-9.27124023438;27.8137207031;342.0
-10.1684570312;28.7109375;340.0
-10.7666015625;26.9165039062;338.0
-10.7666015625;28.4118652344;339.0
-10.4675292969;27.2155761719;339.0
-12.5610351562;28.1127929688;336.0
-13.3087158203;28.2623291016;335.0
-13.1591796875;27.5146484375;334.0
-15.8508300781;26.9165039062;330.0
-14.2059326172;27.0660400391;332.0
-16.748046875;28.1127929688;329.0
-16.8975830078;27.9632568359;329.0
-17.0471191406;26.6174316406;327.0
-18.6920166016;25.2716064453;324.0
-19.140625;26.0192871094;324.0
-19.2901611328;24.6734619141;322.0
-20.0378417969;25.1220703125;321.0
-20.1873779297;24.3743896484;320.0
-23.1781005859;24.9725341797;317.0
-22.7294921875;23.6267089844;316.0
-23.4771728516;23.7762451172;315.0
-22.8790283203;21.9818115234;314.0
-23.3276367188;20.6359863281;311.0
-25.2716064453;20.4864501953;309.0
-24.9725341797;18.6920166016;307.0
-26.6174316406;19.140625;306.0
-25.4211425781;18.2434082031;306.0
-24.9725341797;18.9910888672;307.0
-25.7202148438;16.748046875;303.0
-25.4211425781;17.6452636719;305.0
-26.1688232422;16.8975830078;303.0
-26.318359375;15.5517578125;301.0
-26.7669677734;15.1031494141;299.0
-27.3651123047;15.7012939453;300.0
-26.7669677734;12.4114990234;295.0
-26.4678955078;12.1124267578;295.0
-26.9165039062;13.1591796875;296.0
-26.6174316406;12.2619628906;295.0
-25.8697509766;10.3179931641;292.0
-27.5146484375;9.86938476562;290.0
-26.6174316406;9.5703125;290.0
-27.0660400391;10.3179931641;291.0
-27.0660400391;8.22448730469;287.0
-25.7202148438;6.87866210938;285.0
-26.6174316406;6.57958984375;284.0
-26.6174316406;5.38330078125;281.0
-26.0192871094;4.78515625;280.0
-26.1688232422;4.33654785156;279.0
-24.9725341797;3.73840332031;279.0
-25.7202148438;2.69165039062;276.0
-24.0753173828;3.14025878906;277.0
-24.0753173828;0.149536132812;270.0
-22.7294921875;1.79443359375;275.0
-24.0753173828;0.149536132812;270.0
